ProblemID,QueryID,?Refuted,Time,?VeriEQLRefuted,VeriEQL time,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
619,0,,,False,,,,,,
619,1,,,False,,,,,,
619,2,,,False,,,,,,
619,3,,,False,,,,,,
619,4,,,False,,,,,,
619,5,False,0.057883,False,,0.0,,,,"[0.008559, 0.01478]"
619,6,,,False,,,,,,
619,7,False,0.104887,False,,1.0,1.0,6.0,1.0,[0.010233]
619,8,False,0.100481,False,,1.0,0.0,1.0,0.2,"[0.008122, 0.008803]"
619,9,,,False,,,,,,
619,10,,,False,,,,,,
619,11,,,False,,,,,,
619,12,,,False,,,,,,
619,13,,,False,,,,,,
619,14,False,0.088055,False,,1.0,1.0,6.0,1.0,[0.012839]
619,15,False,0.121133,False,,1.0,1.0,6.0,1.0,[0.008388]
619,16,False,0.073646,False,,1.0,1.0,6.0,1.0,[0.006943]
619,17,False,0.082732,False,,1.0,1.0,6.0,1.0,[0.010225]
619,18,,,False,,,,,,
619,19,False,0.075028,False,,1.0,1.0,6.0,1.0,[0.008811]
619,20,False,0.084356,False,,1.0,1.0,6.0,1.0,[0.009446]
619,21,False,0.820941,False,,0.0,,,,"[0.008296, 0.012134]"
619,22,False,0.086217,False,,1.0,1.0,6.0,1.0,[0.010607]
619,23,False,0.082303,False,,1.0,1.0,6.0,1.0,[0.011394]
619,24,False,0.098606,False,,1.0,1.0,6.0,1.0,[0.008817]
619,25,False,0.101119,False,,1.0,1.0,6.0,1.0,[0.01507]
619,26,False,0.082528,False,,1.0,1.0,6.0,1.0,[0.008824]
619,27,False,0.079988,False,,1.0,1.0,7.0,1.0,[0.007823]
619,28,False,0.154022,False,,1.0,1.0,7.0,1.0,[0.018845]
619,29,True,0.058647,False,,0.0,,,,"[0.007505, 0.013275]"
619,30,False,0.0707,False,,1.0,1.0,6.0,1.0,[0.009765]
619,31,False,0.100399,False,,1.0,1.0,6.0,1.0,[0.011934]
619,32,False,0.07469,False,,1.0,1.0,6.0,1.0,[0.008818]
619,33,False,0.078682,False,,1.0,1.0,6.0,1.0,[0.007839]
619,34,False,0.082583,False,,1.0,1.0,8.0,1.0,[0.008193]
619,35,False,0.076928,False,,1.0,1.0,6.0,1.0,[0.010279]
619,36,False,0.07298,False,,1.0,1.0,6.0,1.0,[0.007715]
619,37,False,0.068137,False,,0.0,,,,"[0.008862, 0.01083]"
619,38,False,0.072786,False,,0.0,,,,"[0.010586, 0.013754]"
619,39,True,0.057684,False,,0.0,,,,"[0.007655, 0.020061]"
619,40,False,0.083824,False,,1.0,1.0,7.0,1.0,[0.007377]
619,41,False,0.105673,False,,1.0,1.0,6.0,1.0,[0.007898]
619,42,False,0.074255,False,,1.0,1.0,6.0,1.0,[0.009678]
619,43,False,0.092035,False,,1.0,1.0,6.0,1.0,[0.006255]
619,44,False,0.051128,False,,0.0,,,,"[0.007728, 0.011723]"
619,45,False,0.066684,False,,1.0,1.0,6.0,1.0,[0.006944]
619,46,False,0.083249,False,,1.0,1.0,6.0,1.0,[0.008346]
619,47,False,0.089064,False,,1.0,1.0,7.0,1.0,[0.009615]
619,48,,,False,,,,,,
619,49,,,False,,,,,,
619,50,False,0.084953,False,,1.0,1.0,6.0,1.0,[0.009346]
