ProblemID,QueryID,?Refuted,Time,?VeriEQLRefuted,VeriEQL time,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
619,0,,,False,,,,,,
619,1,,,False,,,,,,
619,2,,,False,,,,,,
619,3,,,False,,,,,,
619,4,,,False,,,,,,
619,5,False,0.121928,False,,2.0,0.5,2.5,0.5833333333333333,"[0.008255, 0.012701]"
619,6,,,False,,,,,,
619,7,False,0.183273,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.009416]
619,8,True,0.100716,False,,1.0,0.0,1.0,0.5,"[0.00824, 0.014993]"
619,9,,,False,,,,,,
619,10,,,False,,,,,,
619,11,,,False,,,,,,
619,12,,,False,,,,,,
619,13,,,False,,,,,,
619,14,False,0.202106,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.010298]
619,15,False,0.201569,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.012253]
619,16,False,0.181548,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.009671]
619,17,False,0.23815,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.008041]
619,18,,,False,,,,,,
619,19,False,0.202722,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.008022]
619,20,False,0.197553,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.010688]
619,21,False,1.56137,False,,7.0,0.2857142857142857,2.7142857142857144,0.4387755102040815,"[0.009238, 0.040586]"
619,22,False,0.175417,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.012686]
619,23,False,0.151303,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.006914]
619,24,False,0.707496,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.010083]
619,25,False,0.229707,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.010788]
619,26,False,0.182432,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.006856]
619,27,False,0.443588,False,,7.0,0.4285714285714285,4.0,0.6224489795918366,[0.008238]
619,28,False,0.380864,False,,6.0,0.5,4.5,0.7023809523809524,[0.009352]
619,29,True,0.443471,False,,6.0,0.5,4.0,0.630952380952381,"[0.009032, 0.022499]"
619,30,False,0.289133,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.008985]
619,31,False,0.211782,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.010195]
619,32,False,0.199205,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.008952]
619,33,False,0.174704,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.00987]
619,34,False,0.5955,False,,8.0,0.5,4.75,0.640625,[0.007797]
619,35,False,0.171101,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.007541]
619,36,False,0.16156,False,,3.0,0.6666666666666666,3.6666666666666665,0.7222222222222222,[0.007829]
619,37,False,0.111585,False,,2.0,0.0,1.0,0.3333333333333333,"[0.008088, 0.010631]"
619,38,False,0.108134,False,,2.0,0.0,1.0,0.3333333333333333,"[0.00916, 0.009345]"
619,39,True,0.419291,False,,10.0,0.4,4.3,0.575,"[0.007518, 0.011814]"
