ProblemID,QueryID,?Refuted,Counterexample,Time,?VeriEQLRefuted,VeriEQL time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
619,0,,,,False,,,,,,,
619,1,,,,False,,,,,,,
619,2,,,,False,,,,,,,
619,3,,,,False,,,,,,,
619,4,,,,False,,,,,,,
619,5,False,"{'mynumbers': [['num'], [-410]]}",0.035588,False,,2.0,0.0,,,,"[0.006845, 0.010767]"
619,6,,,,False,,,,,,,
619,7,False,,0.065184,False,,2.0,1.0,1.0,6.0,1.0,[0.009485]
619,8,False,"{'mynumbers': [['num'], [6], [6], [None]]}",0.06824,False,,3.0,1.0,0.0,1.0,0.2,"[0.008304, 0.010203]"
619,9,,,,False,,,,,,,
619,10,,,,False,,,,,,,
619,11,,,,False,,,,,,,
619,12,,,,False,,,,,,,
619,13,,,,False,,,,,,,
619,14,False,,0.055721,False,,2.0,1.0,1.0,6.0,1.0,[0.007754]
619,15,False,,0.068773,False,,2.0,1.0,1.0,6.0,1.0,[0.007395]
619,16,False,,0.06066,False,,2.0,1.0,1.0,6.0,1.0,[0.008007]
619,17,False,,0.067498,False,,2.0,1.0,1.0,6.0,1.0,[0.008977]
619,18,,,,False,,,,,,,
619,19,False,,0.062045,False,,2.0,1.0,1.0,6.0,1.0,[0.007885]
619,20,False,,0.057474,False,,2.0,1.0,1.0,6.0,1.0,[0.008153]
619,21,False,"{'mynumbers': [['num'], [None], [-410]]}",0.170579,False,,2.0,0.0,,,,"[0.007541, 0.010754]"
619,22,False,,0.055668,False,,2.0,1.0,1.0,6.0,1.0,[0.007006]
619,23,False,,0.056505,False,,2.0,1.0,1.0,6.0,1.0,[0.007062]
619,24,False,,0.069004,False,,2.0,1.0,1.0,6.0,1.0,[0.010102]
619,25,False,,0.060326,False,,2.0,1.0,1.0,6.0,1.0,[0.007646]
619,26,False,,0.178185,False,,2.0,1.0,1.0,6.0,1.0,[0.00709]
619,27,False,,0.069615,False,,2.0,1.0,1.0,7.0,1.0,[0.007529]
619,28,False,,0.068987,False,,2.0,1.0,1.0,7.0,1.0,[0.007779]
619,29,True,"{'mynumbers': [['num'], [None], [None], [-6529]]}",0.041376,False,,2.0,0.0,,,,"[0.007664, 0.011142]"
619,30,False,,0.06912,False,,2.0,1.0,1.0,6.0,1.0,[0.007877]
619,31,False,,0.06336,False,,2.0,1.0,1.0,6.0,1.0,[0.007621]
619,32,False,,0.072109,False,,2.0,1.0,1.0,6.0,1.0,[0.01098]
619,33,False,,0.060877,False,,2.0,1.0,1.0,6.0,1.0,[0.007616]
619,34,False,,0.064671,False,,2.0,1.0,1.0,8.0,1.0,[0.007172]
619,35,False,,0.06458,False,,2.0,1.0,1.0,6.0,1.0,[0.0075]
619,36,False,,0.060582,False,,2.0,1.0,1.0,6.0,1.0,[0.007451]
619,37,False,"{'mynumbers': [['num'], [6], [237], [6]]}",0.045454,False,,2.0,0.0,,,,"[0.011636, 0.008729]"
619,38,False,"{'mynumbers': [['num'], [None], [None], [-410]]}",0.039397,False,,2.0,0.0,,,,"[0.00711, 0.010037]"
619,39,True,"{'mynumbers': [['num'], [2108], [None], [None]]}",0.053855,False,,2.0,0.0,,,,"[0.006945, 0.023443]"
