ID,Benchmark,?Solved,Time
0,spider_bak-coffee_shop-0011.txt,False,3.95787
1,spider_bak-coffee_shop-0005.txt,False,5.051911
2,spider-manufactory_1-0036.txt,False,2.690451
3,spider-manufactory_1-0036.txt,False,2.679935
4,spider-movie_1-0012.txt,False,3.114835
5,spider_bak-manufactory_1-0003.txt,False,2.717416
6,spider-customer_deliveries-0004.txt,True,7.595286
7,spider_bak-inn_1-0009.txt,True,2.505289
8,spider-csu_1-0023.txt,True,4.353442
9,spider-csu_1-0023.txt,True,4.944428
10,spider-csu_1-0023.txt,False,5.046231
11,spider-soccer_2-0008.txt,True,3.445635
12,spider_bak-roller_coaster-0002.txt,False,2.76043
13,spider_bak-document_management-0001.txt,False,7.922245
14,spider_bak-loan_1-0015.txt,False,4.053619
15,db2csv-student_transcripts_tracking-0040_dev.txt,False,8.373802
16,spider-body_builder-0006.txt,False,3.289362
17,db2csv-museum_visit-0004_dev.txt,False,3.196925
18,spider_bak-candidate_poll-0007.txt,False,2.857431
19,spider-county_public_safety-0020.txt,False,2.455247
20,db2csv-pets_1-0033_dev.txt,False,2.731232
21,db2csv-pets_1-0033_dev.txt,False,2.922701
22,db2csv-pets_1-0033_dev.txt,False,3.129343
23,spider-medicine_enzyme_interaction-0020.txt,True,3.252434
24,spider_bak-entertainment_awards-0012.txt,False,2.996086
25,spider_bak-entertainment_awards-0012.txt,False,3.001833
26,spider_bak-entertainment_awards-0012.txt,False,2.855855
27,spider_bak-entertainment_awards-0012.txt,False,2.912604
28,spider_bak-entertainment_awards-0012.txt,False,3.256257
29,spider_bak-entertainment_awards-0012.txt,False,2.931599
30,spider_bak-entertainment_awards-0012.txt,False,3.017983
31,spider_bak-entertainment_awards-0012.txt,False,3.150856
32,spider_bak-entertainment_awards-0012.txt,False,3.535243
33,spider_bak-entertainment_awards-0012.txt,False,3.540193
34,spider_bak-cre_Docs_and_Epenses-0020.txt,False,5.938024
35,spider_bak-company_office-0003.txt,False,3.682417
36,spider_bak-company_office-0003.txt,False,3.535467
37,spider_bak-company_office-0003.txt,False,3.326981
38,spider_bak-company_office-0003.txt,False,3.262246
39,spider_bak-company_office-0003.txt,False,3.542871
40,spider_bak-company_office-0003.txt,False,3.507545
41,spider_bak-company_office-0003.txt,False,3.445104
42,spider_bak-company_office-0003.txt,False,3.217305
43,spider_bak-company_office-0003.txt,False,5.108786
44,spider_bak-company_office-0003.txt,False,3.954505
45,spider_bak-company_office-0003.txt,False,4.004108
46,spider_bak-company_office-0003.txt,False,3.542073
47,spider_bak-company_office-0003.txt,False,4.295203
