ID,?Refuted,Time,Counterexample,#Iters,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
0,False,,,,,,,,
1,True,2.897215,"{'r1': [['a', 'b'], [27, 34]], 'r2': [['a', 'b'], [27, None]]}",1,0,,,,[]
2,False,,,,,,,,
3,False,,,,,,,,
4,False,,,,,,,,
5,False,,,,,,,,
6,False,,,,,,,,
7,False,,,,,,,,
8,True,0.022705,"{'r': [['a', 'b', 'c'], [10, 12, 12], [9, 12, 1], [10, 12, 12]]}",1,0,,,,[]
9,True,0.167009,"{'user': [['uid', 'uname', 'city'], [None, None, 21], [24, 25, 3]], 'picture': [['uid', 'size'], [29, 1000001]]}",1,0,,,,[]
10,False,,,,,,,,
11,False,,,,,,,,
12,False,,,,,,,,
13,True,0.024467,"{'emp': [['name', 'dept', 'emp'], [None, 18, 18]], 'dept': [['dept', 'loc', 'mgr'], [18, 16, 18], [17, 3, None], [18, 19, 18]]}",1,0,,,,[]
14,True,0.508868,"{'a': [['x', 'ya'], [None, 36]], 'b': [['yb'], [36]]}",1,0,,,,[]
15,True,0.022308,"{'a': [['x', 'ya', 'yx'], [11, 11, 'HELLO10'], [11, 12, 'HELLO'], [11, 11, 'HELLO HI13']]}",1,0,,,,[]
16,False,,,,,,,,
17,False,,,,,,,,
18,False,,,,,,,,
19,True,0.031824,"{'r': [['a'], [None]]}",1,0,,,,[]
20,True,0.040093,"{'r': [['a1', 'a2'], [13, None]]}",1,0,,,,[]
21,False,0.264945,,16,0,,,,[]
22,False,,,,,,,,
23,False,,,,,,,,
24,True,0.061212,"{'r': [['a', 'b'], [1, None]]}",4,0,,,,[]
25,False,,,,,,,,
26,False,5.046846,,256,0,,,,[]
27,False,,,,,,,,
28,True,0.020098,"{'a': [['c'], [None]]}",1,0,,,,[]
29,False,,,,,,,,
30,False,,,,,,,,
31,False,,,,,,,,
32,False,,,,,,,,
33,False,,,,,,,,
34,False,,,,,,,,
35,False,,,,,,,,
36,False,0.2478,,16,0,,,,[]
37,False,,,,,,,,
38,False,,,,,,,,
39,False,,,,,,,,
40,False,,,,,,,,
41,False,,,,,,,,
42,False,,,,,,,,
43,False,,,,,,,,
44,False,,,,,,,,
45,False,,,,,,,,
46,False,,,,,,,,
47,False,,,,,,,,
48,False,,,,,,,,
49,False,,,,,,,,
50,False,,,,,,,,
51,False,,,,,,,,
52,False,,,,,,,,
53,False,,,,,,,,
54,True,3.530201,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [78, 79, 61, None], [61, 61, 81, 61], [None, 83, 61, 7548]], 'department': [['dept_name', 'building', 'budget'], [61, 62, -51]], 'instructor': [['id', 'name', 'salary', 'dept_name']], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [None, None, 65, -55, None, None], [69, 70, None, -55, None, 73], [61, 61, 61, -56, 61, 61]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id']], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade']], 'student': [['id', 'name', 'dept_name', 'tot_cred']]}",1,0,,,,[]
55,False,,,,,,,,
56,False,,,,,,,,
57,False,,,,,,,,
58,False,,,,,,,,
59,True,0.114312,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [None, None, None, None]], 'department': [['dept_name', 'building', 'budget']], 'instructor': [['id', 'name', 'salary', 'dept_name']], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor']], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id']], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade']], 'student': [['id', 'name', 'dept_name', 'tot_cred']]}",1,0,,,,[]
60,True,0.075946,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [-463, None, 19, 20]], 'department': [['dept_name', 'building', 'budget']], 'instructor': [['id', 'name', 'salary', 'dept_name']], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [15, -464, 16, 2010, 17, None], [25, -463, None, 2010, None, 23]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id']], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade']], 'student': [['id', 'name', 'dept_name', 'tot_cred']]}",1,0,,,,[]
61,True,0.084216,"{'course': [['course_id', 'title', 'dept_name', 'credits']], 'department': [['dept_name', 'building', 'budget']], 'instructor': [['id', 'name', 'salary', 'dept_name'], [797, 22, None, None]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [-463, None, None, 18, None, None]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id']], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade']], 'student': [['id', 'name', 'dept_name', 'tot_cred']]}",1,0,,,,[]
62,False,,,,,,,,
63,False,,,,,,,,
