ID,Benchmark,?Solved,Bound,Time
0,spider_bak-coffee_shop-0011.txt,True,2,1.657204
1,spider_bak-coffee_shop-0005.txt,True,2,2.798497
2,spider-manufactory_1-0036.txt,False,2,1.437457
3,spider-manufactory_1-0036.txt,False,2,1.635453
4,spider-movie_1-0012.txt,False,2,1.285487
5,spider_bak-manufactory_1-0003.txt,True,2,1.375218
6,spider-customer_deliveries-0004.txt,,1,
7,spider_bak-inn_1-0009.txt,True,1,1.419206
8,spider-csu_1-0023.txt,True,1,1.378754
9,spider-csu_1-0023.txt,True,1,1.270533
10,spider-csu_1-0023.txt,True,2,2.849851
11,spider-soccer_2-0008.txt,False,7,41.819981
12,spider_bak-roller_coaster-0002.txt,True,2,1.609932
13,spider_bak-document_management-0001.txt,True,2,3.662974
14,spider_bak-loan_1-0015.txt,True,2,3.026499
15,db2csv-student_transcripts_tracking-0040_dev.txt,True,2,5.686647
16,spider-body_builder-0006.txt,True,2,2.323242
17,db2csv-museum_visit-0004_dev.txt,True,2,2.9166920000000003
18,spider_bak-candidate_poll-0007.txt,True,2,2.361159
19,spider-county_public_safety-0020.txt,True,2,3.015482
20,db2csv-pets_1-0033_dev.txt,True,2,3.440968
21,db2csv-pets_1-0033_dev.txt,True,2,6.341316
22,db2csv-pets_1-0033_dev.txt,True,2,8.72678
23,spider-medicine_enzyme_interaction-0020.txt,True,2,2.043991
24,spider_bak-entertainment_awards-0012.txt,True,2,16.791949
25,spider_bak-entertainment_awards-0012.txt,True,2,23.623708
26,spider_bak-entertainment_awards-0012.txt,True,2,22.752423
27,spider_bak-entertainment_awards-0012.txt,True,2,22.719661
28,spider_bak-entertainment_awards-0012.txt,True,2,34.592972
29,spider_bak-entertainment_awards-0012.txt,True,2,22.903162
30,spider_bak-entertainment_awards-0012.txt,True,2,18.429413
31,spider_bak-entertainment_awards-0012.txt,True,2,24.446286
32,spider_bak-entertainment_awards-0012.txt,True,2,21.391551999999997
33,spider_bak-entertainment_awards-0012.txt,True,2,26.925105
34,spider_bak-cre_Docs_and_Epenses-0020.txt,,1,
35,spider_bak-company_office-0003.txt,True,2,2.5377270000000003
36,spider_bak-company_office-0003.txt,True,1,0.899635
37,spider_bak-company_office-0003.txt,True,1,0.914545
38,spider_bak-company_office-0003.txt,True,1,0.998066
39,spider_bak-company_office-0003.txt,True,1,0.993394
40,spider_bak-company_office-0003.txt,True,1,1.115115
41,spider_bak-company_office-0003.txt,True,1,1.152347
42,spider_bak-company_office-0003.txt,True,1,1.008324
43,spider_bak-company_office-0003.txt,True,1,1.011817
44,spider_bak-company_office-0003.txt,True,1,0.973766
45,spider_bak-company_office-0003.txt,True,1,1.225066
46,spider_bak-company_office-0003.txt,True,1,0.992023
47,spider_bak-company_office-0003.txt,True,2,3.943316
48,spider_bak-company_office-0003.txt,True,1,1.044944
49,spider_bak-company_office-0003.txt,True,1,1.1119
50,spider_bak-company_office-0003.txt,True,1,1.040494
51,spider_bak-company_office-0003.txt,True,2,4.167527
52,spider_bak-company_office-0003.txt,True,1,1.2093930000000002
53,spider_bak-company_office-0003.txt,True,1,1.007315
54,spider_bak-company_office-0003.txt,True,1,1.081038
55,spider_bak-company_office-0003.txt,True,1,1.133321
56,spider_bak-music_4-0025.txt,,1,
57,spider_bak-music_4-0025.txt,,1,
58,spider_bak-music_4-0025.txt,,1,
59,spider_bak-customers_and_addresses-0020.txt,True,1,0.653331
60,spider_bak-customers_and_addresses-0020.txt,,1,
61,spider_bak-customers_and_addresses-0020.txt,,1,
62,spider_bak-ship_1-0008.txt,True,2,3.4217180000000003
63,spider-scientist_1-0003.txt,True,2,1.388293
64,spider-scientist_1-0003.txt,False,7,52.073857
65,spider-scientist_1-0003.txt,True,3,3.697297
66,spider-scientist_1-0003.txt,True,2,2.140381
67,spider-scientist_1-0003.txt,True,2,1.699917
68,spider-scientist_1-0003.txt,True,3,4.964531
69,spider-mountain_photos-0013.txt,True,1,1.788799
70,spider-mountain_photos-0013.txt,True,1,3.2049559999999997
71,spider-mountain_photos-0013.txt,True,2,7.947279999999999
72,spider-customers_and_products_contacts-0008.txt,True,2,4.392627
73,spider-customers_and_products_contacts-0008.txt,True,2,3.965899
74,spider-customers_and_products_contacts-0008.txt,True,2,2.328347
75,spider-theme_gallery-0004.txt,True,1,0.773775
76,spider-theme_gallery-0004.txt,True,1,0.989278
77,spider-theme_gallery-0004.txt,True,1,1.032282
78,spider_bak-mountain_photos-0002.txt,True,2,1.992173
79,spider-match_season-0008.txt,False,7,55.442702
80,spider-tracking_share_transactions-0016.txt,,1,
81,db2csv-dog_kennels-0039_dev.txt,True,2,7.034171000000001
82,db2csv-poker_player-0017_dev.txt,True,2,3.6016969999999997
83,db2csv-poker_player-0017_dev.txt,True,2,4.514514999999999
84,db2csv-poker_player-0017_dev.txt,True,2,9.45931
85,db2csv-poker_player-0017_dev.txt,True,2,5.122876
86,db2csv-poker_player-0017_dev.txt,True,2,8.098492
87,db2csv-poker_player-0017_dev.txt,True,2,7.409381
88,db2csv-poker_player-0017_dev.txt,True,2,4.200652
89,db2csv-poker_player-0017_dev.txt,True,2,7.658605
90,db2csv-poker_player-0017_dev.txt,True,2,8.985962
91,db2csv-poker_player-0017_dev.txt,True,2,10.009123
92,spider-news_report-0010.txt,True,2,1.182956
93,spider-news_report-0010.txt,True,2,4.486901
