ProblemID,QueryID,?Refuted,Counterexample,Time,?VeriEQLRefuted,VeriEQL time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
619,0,,,,False,,,,,,,
619,1,,,,False,,,,,,,
619,2,,,,False,,,,,,,
619,3,,,,False,,,,,,,
619,4,,,,False,,,,,,,
619,5,False,"{'mynumbers': [['num'], [None], [-2297], [-2296]]}",0.199417,False,,6.0,0.0,,,,[]
619,6,,,,False,,,,,,,
619,7,False,,0.509509,False,,16.0,0.0,,,,[]
619,8,False,"{'mynumbers': [['num'], [8], [8], [9], [9]]}",0.112654,False,,3.0,0.0,,,,[]
619,9,,,,False,,,,,,,
619,10,,,,False,,,,,,,
619,11,,,,False,,,,,,,
619,12,,,,False,,,,,,,
619,13,,,,False,,,,,,,
619,14,False,,0.569852,False,,16.0,0.0,,,,[]
619,15,False,,0.531981,False,,16.0,0.0,,,,[]
619,16,False,,0.726532,False,,16.0,0.0,,,,[]
619,17,False,,0.564898,False,,16.0,0.0,,,,[]
619,18,,,,False,,,,,,,
619,19,False,,0.504619,False,,16.0,0.0,,,,[]
619,20,False,,0.60166,False,,16.0,0.0,,,,[]
619,21,False,"{'mynumbers': [['num'], [-671]]}",1.178709,False,,10.0,0.0,,,,[]
619,22,False,,0.451589,False,,16.0,0.0,,,,[]
619,23,False,,0.590207,False,,16.0,0.0,,,,[]
619,24,False,,1.101574,False,,16.0,0.0,,,,[]
619,25,False,,0.582544,False,,16.0,0.0,,,,[]
619,26,False,,0.538677,False,,16.0,0.0,,,,[]
619,27,False,,1.10373,False,,32.0,0.0,,,,[]
619,28,False,,1.327203,False,,32.0,0.0,,,,[]
619,29,True,"{'mynumbers': [['num'], [None], [7700], [None]]}",0.381533,False,,10.0,0.0,,,,[]
619,30,False,,0.477575,False,,16.0,0.0,,,,[]
619,31,False,,0.577375,False,,16.0,0.0,,,,[]
619,32,False,,0.489127,False,,16.0,0.0,,,,[]
619,33,False,,0.480894,False,,16.0,0.0,,,,[]
619,34,False,,2.103418,False,,64.0,0.0,,,,[]
619,35,False,,0.482466,False,,16.0,0.0,,,,[]
619,36,False,,0.444251,False,,16.0,0.0,,,,[]
619,37,False,"{'mynumbers': [['num'], [-612], [None]]}",0.351237,False,,14.0,0.0,,,,[]
619,38,False,"{'mynumbers': [['num'], [629], [66]]}",0.303022,False,,14.0,0.0,,,,[]
619,39,True,"{'mynumbers': [['num'], [-760], [None], [None]]}",0.428642,False,,18.0,0.0,,,,[]
619,40,False,,0.843248,False,,32.0,0.0,,,,[]
619,41,False,,0.414983,False,,16.0,0.0,,,,[]
619,42,False,,0.379934,False,,16.0,0.0,,,,[]
619,43,False,,0.309815,False,,16.0,0.0,,,,[]
619,44,False,"{'mynumbers': [['num'], [-611]]}",0.453041,False,,6.0,0.0,,,,[]
619,45,False,,0.530985,False,,16.0,0.0,,,,[]
619,46,False,,0.572564,False,,16.0,0.0,,,,[]
619,47,False,,1.122454,False,,32.0,0.0,,,,[]
619,48,,,,False,,,,,,,
619,49,,,,False,,,,,,,
619,50,False,,0.592933,False,,16.0,0.0,,,,[]
619,51,False,,1.190875,False,,32.0,0.0,,,,[]
619,52,False,"{'mynumbers': [['num'], [-671]]}",0.335269,False,,10.0,0.0,,,,[]
