ProblemID,QueryID,?Refuted,Time,?VeriEQLRefuted,VeriEQL time,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
619,0,,,False,,,,,,
619,1,,,False,,,,,,
619,2,,,False,,,,,,
619,3,,,False,,,,,,
619,4,,,False,,,,,,
619,5,False,1.208677,False,,0.0,,,,[]
619,6,,,False,,,,,,
619,7,False,22.048213,False,,0.0,,,,[]
619,8,True,0.234062,False,,0.0,,,,[]
619,9,,,False,,,,,,
619,10,,,False,,,,,,
619,11,,,False,,,,,,
619,12,,,False,,,,,,
619,13,,,False,,,,,,
619,14,False,23.785565,False,,0.0,,,,[]
619,15,False,37.354803,False,,0.0,,,,[]
619,16,False,25.327043,False,,0.0,,,,[]
619,17,False,25.569969,False,,0.0,,,,[]
619,18,,,False,,,,,,
619,19,False,25.926521,False,,0.0,,,,[]
619,20,False,33.845864,False,,0.0,,,,[]
619,21,False,46.096018,False,,0.0,,,,[]
619,22,False,12.79594,False,,0.0,,,,[]
619,23,False,22.072582,False,,0.0,,,,[]
619,24,False,39.204922,False,,0.0,,,,[]
619,25,False,23.223183,False,,0.0,,,,[]
619,26,False,20.888832,False,,0.0,,,,[]
619,27,,,False,,,,,,
619,28,,,False,,,,,,
619,29,,,False,,,,,,
619,30,False,21.345116,False,,0.0,,,,[]
619,31,False,27.372407,False,,0.0,,,,[]
619,32,False,19.85209,False,,0.0,,,,[]
619,33,False,20.675593,False,,0.0,,,,[]
619,34,,,False,,,,,,
619,35,False,17.098556,False,,0.0,,,,[]
619,36,False,13.140219,False,,0.0,,,,[]
619,37,False,2.039272,False,,0.0,,,,[]
619,38,False,2.042511,False,,0.0,,,,[]
619,39,,,False,,,,,,
619,40,,,False,,,,,,
619,41,False,7.526037,False,,0.0,,,,[]
619,42,False,3.090692,False,,0.0,,,,[]
619,43,False,4.531757,False,,0.0,,,,[]
619,44,False,0.964607,False,,0.0,,,,[]
619,45,False,21.795441,False,,0.0,,,,[]
619,46,False,23.608418,False,,0.0,,,,[]
619,47,,,False,,,,,,
619,48,,,False,,,,,,
619,49,,,False,,,,,,
619,50,False,22.563746,False,,0.0,,,,[]
619,51,,,False,,,,,,
619,52,False,43.005583,False,,0.0,,,,[]
619,53,,,False,,,,,,
619,54,False,22.826587,False,0.250738,0.0,,,,[]
619,55,False,27.523303,False,,0.0,,,,[]
619,56,False,23.309104,False,,0.0,,,,[]
619,57,,,False,,,,,,
619,58,False,19.999391,False,,0.0,,,,[]
619,59,False,20.726518,False,,0.0,,,,[]
619,60,,,False,,,,,,
619,61,False,13.786364,False,,0.0,,,,[]
619,62,,,False,,,,,,
619,63,,,False,,,,,,
619,64,,,False,,,,,,
619,65,,,False,,,,,,
619,66,,,False,,,,,,
619,67,,,False,,,,,,
619,68,False,23.399351,False,,0.0,,,,[]
619,69,False,11.478826,False,,0.0,,,,[]
619,70,,,False,,,,,,
619,71,,,False,,,,,,
619,72,False,22.138333,False,,0.0,,,,[]
619,73,,,False,,,,,,
619,74,False,2.454049,False,,0.0,,,,[]
619,75,False,25.063523,False,,0.0,,,,[]
619,76,True,0.200771,False,0.25406,0.0,,,,[]
619,77,True,4.047516,False,,0.0,,,,[]
619,78,True,0.190372,False,,0.0,,,,[]
