ProblemID,QueryID,?Refuted,Counterexample,Time,?VeriEQLRefuted,VeriEQL time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,solving times
619,0,,,,False,,,,,,,
619,1,,,,False,,,,,,,
619,2,,,,False,,,,,,,
619,3,,,,False,,,,,,,
619,4,,,,False,,,,,,,
619,5,False,"{'mynumbers': [['num'], [None], [None], [-410]]}",0.093225,False,,3.0,1.0,1.0,[6],[6],"[0.011228, 0.012439]"
619,6,,,,False,,,,,,,
619,7,False,,0.096337,False,,2.0,1.0,1.0,[6],[6],[0.010968]
619,8,False,"{'mynumbers': [['num'], [-411], [-412], [-410]]}",0.065616,False,,2.0,0.0,,[],[],"[0.009847, 0.013376]"
619,9,,,,False,,,,,,,
619,10,,,,False,,,,,,,
619,11,,,,False,,,,,,,
619,12,,,,False,,,,,,,
619,13,,,,False,,,,,,,
619,14,False,,0.096686,False,,2.0,1.0,1.0,[6],[6],[0.012106]
619,15,False,,0.100452,False,,2.0,1.0,1.0,[6],[6],[0.013794]
619,16,False,,0.105499,False,,2.0,1.0,1.0,[6],[6],[0.010656]
619,17,False,,0.104546,False,,2.0,1.0,1.0,[6],[6],[0.009397]
619,18,,,,False,,,,,,,
619,19,False,,0.101184,False,,2.0,1.0,1.0,[6],[6],[0.009395]
619,20,False,,0.115938,False,,2.0,1.0,1.0,[6],[6],[0.009523]
619,21,False,"{'mynumbers': [['num'], [237]]}",0.330879,False,,4.0,2.0,0.0,"[2, 1]","[7, 7]","[0.010596, 0.010532]"
619,22,False,,0.086126,False,,2.0,1.0,1.0,[6],[6],[0.008543]
619,23,False,,0.099726,False,,2.0,1.0,1.0,[6],[6],[0.00988]
619,24,False,,0.511118,False,,2.0,1.0,1.0,[6],[6],[0.011246]
619,25,False,,0.092215,False,,2.0,1.0,1.0,[6],[6],[0.012561]
619,26,False,,0.090063,False,,2.0,1.0,1.0,[6],[6],[0.010703]
619,27,False,,0.094627,False,,2.0,1.0,1.0,[7],[7],[0.008705]
619,28,False,,1.444111,False,,19.0,18.0,0.5,"[6, 4, 6, 3, 6, 4, 4, 3, 4, 4, 6, 3, 5, 3, 4, 3, 8, 7]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",[0.008788]
619,29,True,"{'mynumbers': [['num'], [None], [-413], [None]]}",0.277793,False,,6.0,4.0,0.5,"[3, 6, 3, 6]","[7, 7, 7, 7]","[0.011025, 0.011466]"
619,30,False,,0.140619,False,,2.0,1.0,1.0,[6],[6],[0.01091]
619,31,False,,0.090388,False,,2.0,1.0,1.0,[6],[6],[0.008546]
619,32,False,,0.097625,False,,2.0,1.0,1.0,[6],[6],[0.008072]
619,33,False,,0.126822,False,,2.0,1.0,1.0,[6],[6],[0.008861]
619,34,False,,0.082064,False,,2.0,1.0,1.0,[8],[8],[0.010545]
619,35,False,,0.089472,False,,2.0,1.0,1.0,[6],[6],[0.010815]
619,36,False,,0.078669,False,,2.0,1.0,1.0,[6],[6],[0.010015]
619,37,False,"{'mynumbers': [['num'], [-160], [None], [None]]}",0.119361,False,,4.0,2.0,0.5,"[3, 6]","[6, 6]","[0.009171, 0.014439]"
