ID,Benchmark,?Solved,Counterexample,Bound,Time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,AST size,nodes changed
0,spider_bak-coffee_shop-0011.txt,True,"{'shop': [['shop_id', 'address', 'num_of_staff', 'score', 'open_year'], [363, None, None, None, '368'], [362, None, None, None, '370']], 'member': [['member_id', 'name', 'membership_card', 'age', 'time_of_purchase', 'level_of_membership', 'address'], [361, None, None, None, None, None, None], [360, None, None, None, None, None, None]], 'happy_hour': [['hh_id', 'shop_id', 'month', 'num_of_shaff_in_charge'], [365, 363, '369', None], [364, 363, '369', None]], 'happy_hour_member': [['hh_id', 'member_id', 'total_amount'], [358, 360, None]]}",2.0,9.646184,5.0,2.0,0.5,"[1, 175]","[223, 223]",356.0,"[100, 126]"
1,spider_bak-coffee_shop-0005.txt,True,"{'shop': [['shop_id', 'address', 'num_of_staff', 'score', 'open_year'], [351, '358', '358', 358, '358'], [350, '358', '358', 358, '358']], 'member': [['member_id', 'name', 'membership_card', 'age', 'time_of_purchase', 'level_of_membership', 'address'], [353, '358', '358', 359, 358, 358, '360'], [352, '358', '358', 359, 358, 358, '360']], 'happy_hour': [['hh_id', 'shop_id', 'month', 'num_of_shaff_in_charge'], [355, 351, '358', 358], [354, 350, '358', 358]], 'happy_hour_member': [['hh_id', 'member_id', 'total_amount']]}",2.0,47.178586,5.0,2.0,0.5,"[3, 126]","[173, 173]",244.0,"[100, 126]"
2,spider-manufactory_1-0036.txt,False,,3.0,60.008854,,,,,,,
3,spider-manufactory_1-0036.txt,False,,3.0,60.005094,,,,,,,
4,spider_bak-manufactory_1-0003.txt,True,"{'manufacturers': [['code', 'name', 'headquarter', 'founder', 'revenue'], [328, None, None, None, 336], [329, None, None, None, 336]], 'products': [['code', 'manufacturer', 'name', 'price'], [331, None, None, None]]}",2.0,27.081674,5.0,2.0,0.5,"[1, 131]","[178, 178]",256.0,"[100, 113]"
5,spider-customer_deliveries-0004.txt,True,"{'products': [['product_id', 'product_name', 'product_price', 'product_description'], [385, '0', 0, '0'], [384, '0', 0, '0']], 'addresses': [['address_id', 'address_details', 'city', 'zip_postcode', 'state_province_county', 'country'], [386, '0', '0', '0', '0', '0']], 'customers': [['customer_id', 'payment_method', 'customer_name', 'customer_phone', 'customer_email', 'date_became_customer']], 'regular_orders': [['regular_order_id', 'distributer_id'], [388, None]], 'regular_order_products': [['regular_order_id', 'product_id']], 'actual_orders': [['actual_order_id', 'regular_order_id', 'order_status_code', 'actual_order_date'], [389, 388, '0', 0]], 'actual_order_products': [['actual_order_id', 'product_id']], 'customer_addresses': [['address_id', 'customer_id', 'date_from', 'address_type', 'date_to']], 'delivery_routes': [['route_id', 'route_name', 'other_route_details']], 'delivery_route_locations': [['location_code', 'route_id', 'location_address_id', 'location_name']], 'trucks': [['truck_id', 'truck_licence_number', 'truck_details']], 'employees': [['employee_id', 'employee_address_id', 'employee_name', 'employee_phone'], [395, 386, '0', '0']], 'order_deliveries': [['driver_employee_id', 'location_code', 'actual_order_id', 'truck_id', 'delivery_status_code', 'delivery_date']]}",2.0,9.632741,4.0,1.0,0.0,[2],[260],391.0,[101]
6,spider_bak-inn_1-0009.txt,True,"{'rooms': [['roomid', 'roomname', 'beds', 'bedtype', 'maxoccupancy', 'baseprice', 'decor'], ['king426', None, None, 'king431', None, None, None], ['king425', None, None, 'king433', None, None, None]], 'reservations': [['code', 'room', 'checkin', 'checkout', 'rate', 'lastname', 'firstname', 'adults', 'kids']]}",2.0,13.270151,4.0,1.0,0.0,[2],[245],391.0,[101]
7,spider-csu_1-0023.txt,True,"{'campuses': [['id', 'campus', 'location', 'county', 'year'], [448, None, None, None, None], [449, None, None, None, None]], 'csu_fees': [['campus', 'year', 'campusfee']], 'degrees': [['year', 'campus', 'degrees']], 'discipline_enrollments': [['campus', 'discipline', 'year', 'undergraduate', 'graduate']], 'enrollments': [['campus', 'year', 'totalenrollment_ay', 'fte_ay']], 'faculty': [['campus', 'year', 'faculty'], [None, None, None]]}",2.0,13.633406,4.0,1.0,0.0,[2],[274],416.0,[101]
8,spider_bak-roller_coaster-0002.txt,True,"{'roller_coaster': [['roller_coaster_id', 'country_id', 'name', 'park', 'length', 'height', 'speed', 'opened', 'status'], [368, 365, None, None, 371, None, None, None, None], [367, 365, None, None, None, None, None, None, None]], 'country': [['country_id', 'name', 'population', 'area', 'languages'], [365, None, None, None, None], [366, None, None, None, None]]}",2.0,22.212349,5.0,2.0,0.5,"[1, 178]","[226, 226]",364.0,"[100, 132]"
9,db2csv-student_transcripts_tracking-0040_dev.txt,True,"{'addresses': [['address_id', 'line_1', 'line_2', 'line_3', 'city', 'zip_postcode', 'state_province_county', 'country', 'other_address_details'], [724, '746', '746', '746', '746', '746', '746', '746', '746'], [725, '746', '746', '746', '746', '746', '746', '746', '746']], 'courses': [['course_id', 'course_name', 'course_description', 'other_details'], [732, '746', '744', '745'], [733, '746', None, None]], 'departments': [['department_id', 'department_name', 'department_description', 'other_details'], [735, '746', '746', '746'], [736, '746', '746', '746']], 'degree_programs': [['degree_program_id', 'department_id', 'degree_summary_name', 'degree_summary_description', 'other_details'], [722, 735, '746', '746', '746'], [723, 735, '746', '746', '746']], 'sections': [['section_id', 'course_id', 'section_name', 'section_description', 'other_details'], [729, 732, '746', '746', '746'], [728, 733, '746', '746', '746']], 'semesters': [['semester_id', 'semester_name', 'semester_description', 'other_details'], [721, '746', '746', '746'], [720, '746', '746', '746']], 'students': [['student_id', 'permanent_address_id', 'current_address_id', 'first_name', 'middle_name', 'last_name', 'cell_mobile_number', 'email_address', 'ssn', 'date_first_registered', 'date_left', 'other_student_details'], [734, 725, None, '746', '746', '746', '746', '746', '746', 746, 746, '746']], 'student_enrolment': [['student_enrolment_id', 'student_id', 'semester_id', 'degree_program_id', 'other_details'], [731, None, 720, 723, '746'], [730, 734, None, 723, '746']], 'student_enrolment_courses': [['student_course_id', 'student_enrolment_id', 'course_id'], [727, None, 733], [726, 730, 732]], 'transcripts': [['transcript_id', 'transcript_date', 'other_details'], [738, 746, '746'], [737, 746, '746']], 'transcript_contents': [['transcript_id', 'student_course_id'], [738, None]]}",2.0,43.053204,8.0,5.0,0.2,"[1, 188, 7, 15, 7]","[284, 284, 284, 284, 284]",472.0,"[100, 188, 187, 188, 188]"
