Experiment_ID,Benchmark_ID,00_Distribution,00_Error,00_Integrity,00_SIS,01_Distribution,01_Error,01_Integrity,01_SIS,02_Distribution,02_Error,02_Integrity,02_SIS,03_Distribution,03_Error,03_Integrity,03_SIS,04_Distribution,04_Error,04_Integrity,04_SIS,05_Distribution,05_Error,05_Integrity,05_SIS,06_Distribution,06_Error,06_Integrity,06_SIS,07_Distribution,07_Error,07_Integrity,07_SIS,08_Distribution,08_Error,08_Integrity,08_SIS,09_Distribution,09_Error,09_Integrity,09_SIS,10_Distribution,10_Error,10_Integrity,10_SIS,11_Distribution,11_Error,11_Integrity,11_SIS,12_Distribution,12_Error,12_Integrity,12_SIS,13_Distribution,13_Error,13_Integrity,13_SIS,14_Distribution,14_Error,14_Integrity,14_SIS,15_Distribution,15_Error,15_Integrity,15_SIS,Error,Time,best_fuzz,best_sis,?Solved
0,spider_bak-coffee_shop-0011.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.12,0.0,0.0,True
1,spider_bak-coffee_shop-0005.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.39,5.0,0.0,True
2,spider-manufactory_1-0036.txt,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.45,1.0,0.0,True
3,spider-manufactory_1-0036.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.61,0.0,25.0,False
4,spider-movie_1-0012.txt,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.4,2.0,0.0,True
5,spider_bak-manufactory_1-0003.txt,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.07,0.0,0.0,True
6,spider-customer_deliveries-0004.txt,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,,2.2,0.0,25.0,False
7,spider_bak-inn_1-0009.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.26,0.0,0.0,True
8,spider-csu_1-0023.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.96,0.0,25.0,False
9,spider-csu_1-0023.txt,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.53,0.0,0.0,True
10,spider-csu_1-0023.txt,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,,1.46,2.0,0.0,True
11,spider-soccer_2-0008.txt,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,,1.11,0.0,25.0,False
12,spider_bak-roller_coaster-0002.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.07,0.0,0.0,True
13,spider_bak-document_management-0001.txt,"25,25",,Length constraint vi...,0.0,50,,Length constraint vi...,25.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,"25,25",,Length constraint vi...,0.0,,1.64,0.0,0.0,False
14,spider_bak-loan_1-0015.txt,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,,1.2,0.0,25.0,False
15,db2csv-student_transcripts_tracking-0040_dev.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,,1.84,0.0,0.0,True
16,spider-body_builder-0006.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,,0.97,0.0,0.0,True
17,db2csv-museum_visit-0004_dev.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.25,4.0,0.0,True
18,spider_bak-candidate_poll-0007.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,,0.89,0.0,0.0,True
19,spider-county_public_safety-0020.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,,0.98,0.0,0.0,True
20,db2csv-pets_1-0033_dev.txt,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,,1.31,0.0,25.0,False
21,db2csv-pets_1-0033_dev.txt,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,,1.61,0.0,25.0,False
22,db2csv-pets_1-0033_dev.txt,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,50,,Length constraint vi...,25.0,,1.44,0.0,25.0,False
23,spider-medicine_enzyme_interaction-0020.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.18,0.0,25.0,False
24,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.73,0.0,0.0,True
